IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,45040,142.251.209.131,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,firebase-settings.crashlytics.com,1613,6478,10,10,2026-06-26T21:31:35.572+02:00,2026-06-26T21:31:39.576+02:00
17,10.215.173.1,39950,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,graph.facebook.com,64,104,1,1,2026-06-26T21:31:35.586+02:00,2026-06-26T21:31:35.605+02:00
6,10.215.173.1,55656,185.60.219.3,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,graph.facebook.com,1948,6751,13,12,2026-06-26T21:31:35.609+02:00,2026-06-26T21:31:53.060+02:00
6,10.215.173.1,55658,185.60.219.3,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,graph.facebook.com,1753,5444,9,8,2026-06-26T21:31:35.611+02:00,2026-06-26T21:31:53.060+02:00
6,10.215.173.1,55670,185.60.219.3,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,graph.facebook.com,2282,7367,12,12,2026-06-26T21:31:35.613+02:00,2026-06-26T21:31:53.060+02:00
17,10.215.173.1,35614,57.144.254.141,443,10308,Facebook,com.facebook.katana,QUIC,Closed,,17265,100796,49,116,2026-06-26T21:31:36.291+02:00,2026-06-26T21:31:43.897+02:00
6,10.215.173.1,36198,57.144.254.141,443,10308,Facebook,com.facebook.katana,HTTPS,Closed,graph.facebook.com,1974,1801,7,6,2026-06-26T21:31:36.371+02:00,2026-06-26T21:31:47.687+02:00
17,10.215.173.1,48113,10.215.173.2,53,10073,Game Booster,com.samsung.android.game.gametools,DNS,Closed,vas.samsungapps.com,65,264,1,1,2026-06-26T21:31:36.915+02:00,2026-06-26T21:31:36.955+02:00
6,10.215.173.1,53148,54.76.226.36,443,10073,Game Booster,com.samsung.android.game.gametools,HTTPS,Error,vas.samsungapps.com,1505,6625,9,9,2026-06-26T21:31:36.958+02:00,2026-06-26T21:31:37.200+02:00
17,10.215.173.1,58151,10.215.173.2,53,10247,Services Google Play,com.google.android.gms,DNS,Closed,region1.app-measurement.com,73,105,1,1,2026-06-26T21:31:37.224+02:00,2026-06-26T21:31:37.236+02:00
17,10.215.173.1,48560,216.239.32.36,443,10247,Services Google Play,com.google.android.gms,QUIC,Closed,region1.app-measurement.com,5720,8516,11,13,2026-06-26T21:31:37.250+02:00,2026-06-26T21:31:37.364+02:00
17,10.215.173.1,12118,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,configs.agario.miniclippt.com,75,139,1,1,2026-06-26T21:31:37.288+02:00,2026-06-26T21:31:37.325+02:00
6,10.215.173.1,58692,99.86.109.27,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,configs.agario.miniclippt.com,48241,8736031,677,1395,2026-06-26T21:31:37.353+02:00,2026-06-26T21:31:53.058+02:00
6,10.215.173.1,58700,99.86.109.27,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,configs.agario.miniclippt.com,2215,6465,9,9,2026-06-26T21:31:37.358+02:00,2026-06-26T21:31:37.448+02:00
6,10.215.173.1,58710,99.86.109.27,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,configs.agario.miniclippt.com,2239,6425,8,8,2026-06-26T21:31:37.361+02:00,2026-06-26T21:31:37.448+02:00
17,10.215.173.1,40386,10.215.173.2,53,10247,Services Google Play,com.google.android.gms,DNS,Closed,app-measurement.com,65,81,1,1,2026-06-26T21:31:37.370+02:00,2026-06-26T21:31:37.378+02:00
17,10.215.173.1,41248,142.251.39.206,443,10247,Services Google Play,com.google.android.gms,QUIC,Closed,app-measurement.com,3268,5272,8,11,2026-06-26T21:31:37.382+02:00,2026-06-26T21:31:37.445+02:00
6,10.215.173.1,58722,99.86.109.27,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,configs.agario.miniclippt.com,2103,6385,7,7,2026-06-26T21:31:37.393+02:00,2026-06-26T21:31:37.448+02:00
6,10.215.173.1,53162,54.76.226.36,443,10073,Game Booster,com.samsung.android.game.gametools,HTTPS,Closed,vas.samsungapps.com,1390,3175,8,9,2026-06-26T21:31:37.439+02:00,2026-06-26T21:31:37.611+02:00
17,10.215.173.1,35690,216.239.32.36,443,10247,Services Google Play,com.google.android.gms,QUIC,Closed,region1.app-measurement.com,3733,4896,9,12,2026-06-26T21:31:37.449+02:00,2026-06-26T21:31:37.564+02:00
17,10.215.173.1,39073,142.251.39.206,443,10247,Services Google Play,com.google.android.gms,QUIC,Closed,app-measurement.com,4483,4392,8,10,2026-06-26T21:31:37.556+02:00,2026-06-26T21:31:37.656+02:00
17,10.215.173.1,58011,216.239.32.36,443,10247,Services Google Play,com.google.android.gms,QUIC,Closed,region1.app-measurement.com,4224,4943,9,13,2026-06-26T21:31:37.725+02:00,2026-06-26T21:31:37.838+02:00
17,10.215.173.1,14087,10.215.173.2,53,10078,Gaming Hub,com.samsung.android.game.gamehome,DNS,Closed,firebaseremoteconfig.googleapis.com,81,145,1,1,2026-06-26T21:31:37.872+02:00,2026-06-26T21:31:37.890+02:00
6,10.215.173.1,32830,216.239.34.223,443,10078,Gaming Hub,com.samsung.android.game.gamehome,HTTPS,Closed,firebaseremoteconfig.googleapis.com,2732,6300,7,8,2026-06-26T21:31:37.895+02:00,2026-06-26T21:31:38.043+02:00
17,10.215.173.1,1058,10.215.173.2,53,10077,Galaxy Store,com.sec.android.app.samsungapps,DNS,Closed,ureca.samsungapps.com,67,273,1,1,2026-06-26T21:31:38.682+02:00,2026-06-26T21:31:38.699+02:00
6,10.215.173.1,40658,99.81.252.254,443,10077,Galaxy Store,com.sec.android.app.samsungapps,HTTPS,Closed,ureca.samsungapps.com,2822,6549,10,10,2026-06-26T21:31:38.705+02:00,2026-06-26T21:32:50.302+02:00
17,10.215.173.1,57319,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,fundingchoicesmessages.google.com,79,116,1,1,2026-06-26T21:31:39.240+02:00,2026-06-26T21:31:39.261+02:00
6,10.215.173.1,54330,142.251.39.206,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,fundingchoicesmessages.google.com,2256,157978,21,34,2026-06-26T21:31:39.270+02:00,2026-06-26T21:31:53.060+02:00
17,10.215.173.1,23896,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,mobile-live-v26.agario.miniclippt.com,83,131,1,1,2026-06-26T21:31:39.363+02:00,2026-06-26T21:31:39.383+02:00
6,10.215.173.1,49242,13.38.226.253,9000,10345,Agar.io,com.miniclip.agar.io,TCP,Closed,mobile-live-v26.agario.miniclippt.com,240,40,4,1,2026-06-26T21:31:39.389+02:00,2026-06-26T21:32:50.302+02:00
17,10.215.173.1,43074,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,fonts.googleapis.com,66,82,1,1,2026-06-26T21:31:40.036+02:00,2026-06-26T21:31:40.043+02:00
